gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0504,0.1252,0.061,2.1308,1.0008,9.9623,-1.0,-1.0,1.0
-0.2814,0.2817,0.1263,1.9585,0.4669,10.2927,-1.0,-1.0,1.0
-0.0362,0.3091,0.0842,1.6041,0.4932,10.5034,-1.0,-1.0,1.0
-0.2745,0.522,0.3869,1.1349,0.3304,10.6566,-1.0,-1.0,1.0
-0.312,1.9865,0.5132,0.3376,0.6895,12.141,-1.0,-1.0,1.0
0.0285,2.9143,0.405,-2.5355,0.1508,10.8002,1.0,-1.0,1.0
-0.1452,1.3355,0.4277,-4.5729,-1.0319,9.4092,1.0,-1.0,1.0
-0.129,1.1431,0.13,-5.4923,-1.3719,8.3749,1.0,-1.0,1.0
-0.0909,0.5923,0.2745,-6.1914,-0.9146,8.1092,1.0,-1.0,1.0
0.1599,-0.4567,-0.2563,-6.3111,-3.2394,6.0118,1.0,-1.0,1.0
0.3968,-0.9406,-0.4716,-5.2385,-1.5778,6.675,1.0,-1.0,1.0
0.1974,-1.8644,-0.5007,-3.7852,0.1844,8.193,1.0,-1.0,1.0
0.0655,-2.4824,-0.2667,-2.7078,1.2426,12.2104,1.0,-1.0,1.0
0.2185,-1.2383,-0.1103,-1.0726,2.8132,9.7348,-1.0,-1.0,1.0
-0.3046,-0.1428,0.4868,0.9505,1.8052,7.1132,-1.0,-1.0,1.0
-0.0016,-0.8026,-0.2798,0.8428,2.5666,9.1051,-1.0,-1.0,1.0
-0.033,-0.9627,-0.3898,1.3192,2.5546,8.9615,-1.0,-1.0,1.0
-0.0213,-0.9513,-0.1354,2.4421,1.8411,9.4379,-1.0,-1.0,1.0
-0.2001,-1.1439,-0.74,3.6128,1.4964,8.181,-1.0,-1.0,1.0
-0.4133,0.0405,1.0147,6.2273,-0.6273,6.9216,-1.0,-1.0,1.0
-0.6768,0.0861,-0.4221,3.5578,1.8603,9.3302,-1.0,-1.0,1.0
-0.3597,0.7008,0.3261,3.6176,1.1827,10.1658,-1.0,-1.0,1.0
-0.1993,0.4338,0.1665,2.5283,0.6488,9.9503,-1.0,-1.0,1.0
-0.9702,0.9731,1.0643,1.7382,0.3974,11.145,-1.0,-1.0,1.0
-1.7618,2.3345,-0.1623,0.905,-1.3144,10.7452,-1.0,-1.0,1.0
-0.6688,1.3635,-0.1561,-1.3886,-0.8667,10.1227,1.0,-1.0,1.0
-0.437,0.9891,-0.4754,-2.49,-1.4006,8.5712,1.0,1.0,1.0
-0.2358,0.934,-0.0767,-3.9049,-1.0965,7.2472,1.0,1.0,1.0
-0.0813,0.2966,-0.194,-4.7118,-1.901,7.0198,1.0,1.0,1.0
0.0274,0.231,-0.2105,-5.387,-1.5562,7.6638,1.0,1.0,1.0
0.133,0.0602,0.045,-5.6671,-2.0135,7.5369,1.0,1.0,1.0
0.0775,-0.0338,-0.0807,-5.7389,-1.9249,7.3478,1.0,1.0,1.0
0.235,-0.2105,-0.0176,-5.5378,-1.1756,7.4795,1.0,1.0,1.0
1.1543,-2.2633,-0.3968,-4.0366,-1.0439,5.715,1.0,-1.0,1.0
1.2151,-2.9575,-0.3933,-2.6456,1.2546,10.9702,1.0,-1.0,1.0
0.5025,-2.7363,-0.6121,1.0774,1.0702,11.9782,-1.0,-1.0,1.0
0.2257,-2.2196,-0.3048,3.7852,1.403,10.5489,-1.0,-1.0,1.0
0.1415,-1.0477,0.0005,5.3534,1.4629,9.1818,-1.0,-1.0,1.0
-0.0253,-0.8362,0.0083,6.1292,0.8595,8.5042,-1.0,-1.0,1.0
-0.0338,-0.4037,-0.0163,5.6216,1.7717,8.2648,-1.0,-1.0,1.0
0.0778,-0.141,-0.1767,6.2297,1.6496,8.1044,-1.0,-1.0,1.0
-0.6286,0.5233,0.4719,5.8634,2.4493,8.5593,-1.0,-1.0,1.0
-1.283,2.044,0.3536,4.6088,1.7621,9.6702,-1.0,-1.0,1.0
-0.6518,1.5532,-0.3965,2.1524,0.8643,10.0748,-1.0,-1.0,1.0
-0.4892,1.3107,0.065,0.1796,-0.4262,11.1019,-1.0,-1.0,1.0
-0.3373,1.4144,0.2004,-0.4956,-0.929,9.9695,-1.0,-1.0,1.0
-0.1447,0.737,-0.3792,-1.482,-0.4645,10.1083,1.0,-1.0,1.0
-0.1324,0.907,-0.0346,-2.6911,-0.8164,10.058,1.0,-1.0,1.0
0.0477,0.6214,-0.2531,-3.2801,-0.4836,9.5313,1.0,-1.0,1.0
0.1463,0.5963,-0.494,-3.6679,0.4022,9.8019,1.0,-1.0,1.0
-0.1865,0.6219,0.0759,-4.2952,-0.6728,9.5217,1.0,-1.0,1.0
-0.0791,1.0253,0.0938,-4.3934,-1.2641,8.4324,1.0,-1.0,1.0
-0.0205,1.1207,0.0373,-5.5474,-0.6416,8.1738,1.0,-1.0,1.0
0.207,-0.5276,0.048,-5.138,-1.3982,5.782,1.0,-1.0,1.0
