gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0669,-0.0013,0.2116,0.6488,-0.8356,9.9479,-1.0,-1.0,1.0
0.057,0.1082,0.048,0.3687,-1.1372,9.6798,-1.0,-1.0,1.0
-0.1292,-0.0266,-0.0458,-0.1652,-0.6009,9.4906,-1.0,-1.0,1.0
-0.041,-0.0365,-0.0093,0.4286,-1.1229,9.8713,-1.0,-1.0,1.0
0.3027,0.0778,0.0826,0.091,-0.5171,10.1706,-1.0,-1.0,1.0
0.1282,0.1063,0.1196,0.2921,-1.1899,10.489,-1.0,-1.0,1.0
-0.0208,0.0051,-0.1455,0.1508,-0.4812,10.1538,-1.0,-1.0,1.0
-0.2952,0.2086,-0.2204,-0.0646,-0.9649,10.2448,-1.0,-1.0,1.0
-0.7584,0.2161,-0.3269,-0.4477,-1.5658,10.0556,-1.0,1.0,1.0
-0.3861,0.1977,-0.0645,-0.5004,-2.9233,10.0293,-1.0,1.0,1.0
-0.7096,0.4285,-0.3437,-0.8882,-3.3615,9.5672,-1.0,1.0,1.0
-0.4735,0.4895,-0.4437,-1.1564,-4.4197,9.8138,1.0,1.0,1.0
-0.4735,0.8282,-0.8151,-2.5115,-3.5291,8.7987,1.0,1.0,1.0
-0.0658,0.6624,-0.765,-3.486,-3.3519,8.1427,1.0,1.0,1.0
0.0373,0.5958,-0.478,-3.9432,-3.201,7.9823,1.0,1.0,1.0
-0.0496,0.376,-0.1724,-4.7573,-2.8826,7.6614,1.0,1.0,1.0
-0.0682,0.0176,0.1785,-4.7645,-3.2346,7.5944,1.0,1.0,1.0
0.1039,-0.2521,0.2843,-4.0199,-4.4317,8.0325,1.0,1.0,1.0
-0.0392,-0.0362,-0.0967,-4.2569,-4.1851,7.9655,1.0,1.0,1.0
0.0338,-0.2353,0.0203,-4.2928,-3.3543,7.6519,1.0,1.0,1.0
0.0983,-0.4522,-0.0112,-3.9624,-3.3519,7.7931,1.0,1.0,1.0
0.1708,-0.4932,-0.1204,-3.5075,-4.0031,8.983,1.0,1.0,1.0
0.1532,-0.6265,-0.2691,-2.9904,-3.3232,8.7197,1.0,1.0,1.0
0.1796,-0.3019,-0.1319,-2.7892,-2.5187,9.584,1.0,1.0,1.0
-0.6155,-0.1713,0.4631,-2.3343,-2.6432,9.4715,1.0,1.0,1.0
-3.8208,-0.5039,3.1267,-1.2929,-4.2689,6.9647,1.0,1.0,1.0
-2.3206,-0.6342,1.9321,0.4956,-8.1762,6.4763,-1.0,1.0,1.0
-0.5585,-0.328,0.4863,1.8771,-8.4803,5.4947,-1.0,1.0,1.0
-0.1913,-0.21,0.5604,2.1907,-8.6335,4.8626,-1.0,1.0,1.0
0.5886,-0.0354,-0.109,1.9537,-8.0062,5.3582,-1.0,1.0,1.0
1.2215,0.0903,-0.5183,2.0662,-7.6638,5.7892,-1.0,1.0,1.0
1.4208,0.4218,-0.4711,1.81,-8.0613,6.8067,-1.0,1.0,1.0
2.024,0.3144,-0.6126,1.0439,-6.6152,8.5808,-1.0,1.0,1.0
1.3302,0.1929,-0.4714,0.0958,-3.486,8.8753,-1.0,1.0,1.0
0.9513,0.0365,-0.1801,0.2107,-3.6607,9.3565,-1.0,1.0,1.0
1.3488,0.3166,-0.7458,0.158,-2.1476,9.7109,-1.0,1.0,1.0
1.3041,0.4399,-0.6837,-0.6728,-0.4956,9.6367,-1.0,-1.0,1.0
0.8029,0.3118,-0.4602,-0.8356,0.6536,9.6654,-1.0,-1.0,1.0
0.3584,0.1567,-0.3448,-0.7494,0.7398,10.3453,-1.0,-1.0,1.0
0.2984,0.218,-0.4048,-1.3264,1.8076,9.4284,-1.0,-1.0,1.0
-0.2979,-0.1058,0.3469,-0.9481,1.8603,9.6175,-1.0,-1.0,1.0
-0.7325,0.6694,0.2934,-1.7909,0.2658,11.3629,-1.0,-1.0,1.0
-0.5167,0.9148,0.2204,-2.1021,0.9625,9.2727,1.0,-1.0,1.0
-0.2782,1.1146,-0.113,-3.0167,-0.8835,9.5241,1.0,1.0,1.0
-0.6067,0.5963,0.2627,-4.0677,-0.6129,9.1458,1.0,1.0,1.0
-0.7354,0.2454,0.5572,-4.1635,-1.7334,8.4396,1.0,1.0,1.0
-0.1711,0.1172,0.3112,-3.9432,-3.201,7.9296,1.0,1.0,1.0
0.0306,0.3413,-0.4341,-4.2138,-3.4165,8.4898,1.0,1.0,1.0
-0.1212,0.3608,-0.2761,-4.9584,-2.5666,8.2504,1.0,1.0,1.0
0.1002,0.3032,-0.3837,-4.7597,-3.0454,7.8817,1.0,1.0,1.0
0.0386,0.13,-0.2878,-5.0757,-2.4373,7.6183,1.0,1.0,1.0
0.0051,-0.1124,0.049,-4.9632,-2.5857,7.7428,1.0,1.0,1.0
0.0695,-0.1276,-0.0701,-4.8435,-2.6815,8.0565,1.0,1.0,1.0
0.1543,-0.1074,0.0357,-5.2265,-1.9441,8.1283,1.0,1.0,1.0
-0.748,-0.5777,0.5529,-4.6495,-1.9992,7.8889,1.0,1.0,1.0
-1.0126,-0.987,0.7933,-3.814,-2.5786,7.9128,1.0,1.0,1.0
-1.4533,-0.8204,1.878,-2.7222,-4.4077,7.5274,1.0,1.0,1.0
-1.396,-0.8236,1.4861,0.0407,-7.7141,6.9049,-1.0,1.0,1.0
-1.6912,-0.3789,1.2798,1.4126,-8.9735,6.2848,-1.0,1.0,1.0
-0.6763,-0.186,0.6502,1.3934,-8.0996,5.3008,-1.0,1.0,1.0
-0.4655,0.0418,0.3488,2.636,-9.5074,4.6232,-1.0,1.0,1.0
-0.0048,0.0381,-0.1053,2.3463,-8.8298,4.4053,-1.0,1.0,1.0
0.2374,0.1005,-0.1788,2.0877,-8.0349,4.6376,-1.0,1.0,1.0
2.0957,-0.1276,-0.4594,2.2338,-7.9176,5.3439,-1.0,1.0,1.0
1.4866,0.3776,-0.2038,2.0039,-6.7876,7.3813,-1.0,1.0,1.0
1.5284,0.6648,-0.6981,1.4078,-5.7245,7.9344,-1.0,1.0,1.0
3.3601,0.2947,-0.76,-0.8763,-4.1515,9.754,-1.0,1.0,1.0
1.6459,0.2795,-0.7845,-0.407,-1.2019,10.1586,-1.0,-1.0,1.0
1.1106,0.381,-0.7099,-0.7805,0.1341,9.6367,-1.0,-1.0,1.0
0.8508,0.2172,-0.5303,-1.0247,1.5682,9.4451,-1.0,-1.0,1.0
0.6792,-0.0133,-0.4143,-1.0702,2.636,9.2249,-1.0,-1.0,1.0
0.566,0.0866,-0.3523,-1.2737,2.8683,9.481,-1.0,-1.0,1.0
0.5649,0.1423,-0.3429,-1.1325,3.778,9.0692,-1.0,-1.0,1.0
