gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0416,0.0149,-0.0765,-5.1667,-1.3767,9.0213,1.0,-1.0,1.0
0.0288,0.0218,-0.0813,-5.5043,-0.5674,8.1307,1.0,-1.0,1.0
-0.0506,0.0072,0.0733,-5.4181,-0.4836,8.1451,1.0,-1.0,1.0
0.1154,0.1639,0.0962,-5.4085,-0.407,8.0852,1.0,-1.0,1.0
0.1783,-0.1431,0.0288,-5.4636,-0.7398,7.9487,1.0,-1.0,1.0
0.655,-1.4685,-0.4626,-4.7094,-0.8284,6.0693,1.0,-1.0,1.0
-0.5023,-3.1797,-0.2952,-2.4828,1.6065,10.8649,1.0,-1.0,1.0
0.0826,-1.5332,-0.0264,0.2514,-0.3926,10.1323,-1.0,-1.0,1.0
0.0397,-1.1575,-0.3027,1.8004,2.7557,11.5233,-1.0,-1.0,1.0
0.0597,-0.0983,-0.0226,2.2242,-0.431,10.659,-1.0,-1.0,1.0
0.2118,-0.2385,-0.2475,2.1021,0.328,9.6223,-1.0,-1.0,1.0
-0.016,0.0429,0.0192,2.5714,-0.5243,10.3166,-1.0,-1.0,1.0
0.016,0.6249,0.2028,1.743,1.3815,10.4076,-1.0,-1.0,1.0
-0.1351,2.3012,-0.1604,1.0415,-1.008,9.3541,-1.0,-1.0,1.0
-0.1191,0.9912,-0.21,-1.2977,0.3424,7.8147,-1.0,-1.0,1.0
-0.2659,0.4887,-0.4719,-1.257,-0.4118,10.1969,-0.473,-1.0,1.0
0.0541,0.6531,-0.02,-2.3703,-0.5219,8.8992,1.0,-1.0,1.0
0.1124,0.5433,-0.0472,-2.8228,-0.9146,9.098,1.0,-1.0,1.0
0.0794,0.1327,-0.1002,-3.4213,0.0072,8.6742,1.0,-1.0,1.0
0.1532,0.3261,-0.0152,-3.3998,-0.6464,9.1075,1.0,-1.0,1.0
0.0909,0.3691,-0.0458,-3.778,-0.838,8.9495,1.0,-1.0,1.0
0.1375,0.2785,0.0914,-4.1372,-0.3663,9.6414,1.0,-1.0,1.0
