timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,-0.0069,-0.0266,0.0264,-0.5842,-1.5347,9.8066,-1.0,1.0,1.0
100,0.0117,0.0211,0.0096,-0.3448,-1.8148,10.0628,-1.0,1.0,1.0
200,0.0394,0.0123,0.0213,-0.498,-1.7095,9.572,-1.0,1.0,1.0
300,-0.0695,0.0413,-0.0163,-0.5315,-1.7741,9.9144,-1.0,1.0,1.0
400,-0.0794,0.0322,-0.0634,-0.4956,-1.8986,9.5122,-1.0,1.0,1.0
500,-0.2515,0.1572,0.1108,-1.3048,-1.8579,11.3533,-1.0,1.0,1.0
600,0.4072,3.4406,1.1351,-1.7142,-1.4078,8.3318,1.0,1.0,1.0
700,-0.2145,2.7456,0.3946,-3.7924,-2.2793,6.0885,1.0,1.0,1.0
800,0.2318,1.2673,-0.1623,-5.7796,-2.0087,6.2058,1.0,1.0,1.0
900,0.4959,1.0075,-0.6067,-6.7014,-2.1524,5.9448,1.0,1.0,1.0
1000,2.4283,-0.0983,-2.8082,-6.201,-0.431,5.1643,1.0,-1.0,1.0
1100,1.8466,-0.1474,-2.028,-6.9288,6.5505,4.5298,1.0,-1.0,1.0
1200,3.6993,0.3304,-2.505,-5.0805,8.6574,5.5976,1.0,-1.0,1.0
1300,0.8303,0.2555,-2.1559,-3.055,14.54,0.9984,1.0,-1.0,1.0
1400,0.7954,-0.5473,-1.9875,0.2274,11.236,-0.2274,-1.0,-1.0,1.0
1500,0.3813,-0.7893,-1.9105,1.4605,10.7859,-1.5874,-1.0,-1.0,1.0
1600,1.4642,-0.4082,-1.5876,3.4165,11.0373,1.9154,-1.0,-1.0,-1.0
1700,0.1769,0.453,-0.1298,3.8499,10.5536,-1.1636,-1.0,-1.0,-1.0
1800,-0.0997,-0.1175,0.0621,3.802,8.8873,-2.6049,-1.0,-1.0,-1.0
1900,-0.0016,0.0181,0.0269,3.6703,10.5345,0.3855,-1.0,-1.0,-1.0
2000,-0.6227,0.0088,2.7645,2.794,11.6598,-1.4557,-1.0,-1.0,0.655
2100,0.777,-0.643,2.2577,-0.237,12.0333,2.6695,-1.0,-1.0,1.0
2200,0.1617,-0.0679,1.3318,-3.6033,9.6941,1.2641,1.0,-1.0,1.0
2300,-0.1162,-0.0775,0.5732,-4.288,10.3597,1.2402,1.0,-1.0,-1.0
2400,-0.9731,-0.9297,2.7139,-5.5665,10.4052,-0.4621,1.0,-1.0,1.0
2500,-0.4501,-0.404,2.1594,-6.4955,3.9983,-0.4956,1.0,-1.0,1.0
2600,-1.2875,-1.3555,1.591,-7.8434,1.4126,1.4485,1.0,-1.0,1.0
2700,-1.611,-1.4567,0.3264,-8.0349,2.0566,3.474,1.0,-1.0,1.0
2800,-2.0827,-1.4866,0.1514,-7.2712,1.087,6.1124,1.0,-1.0,1.0
2900,-3.8061,-2.5141,0.6976,-5.0709,-2.4397,7.276,1.0,-1.0,1.0
3000,-1.336,-0.955,0.2004,-3.62,-4.1061,11.4802,1.0,1.0,1.0
3100,-2.8687,-3.872,0.1572,-0.6512,-8.3965,5.3774,1.0,1.0,1.0
3200,-0.8045,-2.1775,0.2579,1.1277,-7.9679,9.8138,-1.0,1.0,1.0
3300,-0.4173,-1.1165,0.6235,2.2553,-9.2847,6.0047,-1.0,1.0,1.0
3400,-0.3832,-1.9526,0.6595,4.5059,-8.849,5.1571,-1.0,1.0,1.0
3500,-0.4349,-1.8349,0.0091,4.537,-7.7907,6.4332,-1.0,1.0,1.0
3600,-0.0735,-0.8601,-0.0019,6.2848,-7.3119,5.0853,-1.0,1.0,1.0
3700,0.113,0.0831,0.0709,5.7652,-6.4045,4.8698,-1.0,1.0,1.0
3800,-0.0125,0.2928,-0.1671,5.5498,-5.6455,4.5729,-1.0,1.0,1.0
3900,-0.0765,1.6939,0.2097,5.4109,-6.4763,8.7245,-1.0,1.0,1.0
4000,0.3139,4.0625,-0.0309,3.6057,-6.7947,6.4284,-1.0,1.0,1.0
4100,-0.3272,2.5562,-1.3963,1.6065,-8.0302,6.5745,-1.0,1.0,1.0
4200,0.2201,1.6017,-0.3667,-1.731,-7.5944,5.4109,1.0,1.0,1.0
4300,0.271,1.1844,-1.0075,-2.4134,-9.165,7.0461,1.0,1.0,1.0
4400,0.6744,1.5847,-1.6555,-4.5083,-6.6032,5.9233,1.0,1.0,1.0
4500,1.4821,1.8309,-1.61,-6.2082,-3.3088,6.4979,1.0,1.0,1.0
