timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.0083,-0.0679,0.0056,-0.2442,-1.3431,9.4308,-1.0,1.0,1.0
100,-0.3741,-0.3677,-0.2284,0.577,-2.0518,9.6989,-1.0,1.0,1.0
200,0.2145,0.1591,0.2987,-0.1867,-0.9529,10.149,-1.0,1.0,1.0
300,-0.0256,-0.0781,-0.0211,0.6632,-1.8124,10.1825,-1.0,1.0,1.0
400,0.194,0.323,0.0442,-0.1221,-1.0367,11.2863,-1.0,1.0,1.0
500,0.5534,1.9644,1.0208,-0.9864,-0.3855,12.6941,-1.0,-1.0,1.0
600,0.0157,2.7832,1.0317,-2.9161,-1.0726,10.0389,1.0,-1.0,1.0
700,-0.2209,1.3155,0.4626,-4.7501,-2.2266,7.185,1.0,-1.0,1.0
800,-0.5449,1.2396,-0.0602,-6.2321,-1.0247,7.1443,1.0,-1.0,1.0
900,0.0613,1.3907,-0.0815,-7.3406,-1.5275,4.458,1.0,-1.0,1.0
1000,-0.0264,0.1761,-0.8106,-7.853,-1.0774,4.64,1.0,-1.0,1.0
1100,0.3786,-1.3536,-3.1043,-6.4117,0.6895,5.861,1.0,-1.0,1.0
1200,4.573,-0.3816,-2.9154,-5.8562,4.3934,1.968,1.0,-1.0,1.0
1300,5.811,0.3357,-1.4762,-4.4819,8.667,1.47,1.0,-1.0,1.0
1400,0.3475,-0.2625,-2.5298,-0.4788,7.762,0.8571,1.0,-1.0,1.0
1500,1.6603,-1.2041,-2.8264,1.7549,9.5864,-0.9792,-1.0,-1.0,-1.0
1600,-0.2419,0.8026,-1.5428,2.648,11.9686,-2.4612,-1.0,-1.0,-1.0
1700,0.4317,0.4591,-0.9438,3.7158,10.1801,-2.6432,-1.0,-1.0,-1.0
1800,0.8074,0.2321,-0.1572,4.0773,10.4746,-1.7669,-1.0,-1.0,-1.0
1900,0.1087,0.215,0.1271,3.8427,10.7404,-2.2721,-1.0,-1.0,-1.0
2000,0.3786,-0.3877,0.4093,4.2377,8.3821,-1.6975,-1.0,-1.0,-1.0
2100,-2.3483,-2.2207,4.1757,2.0686,14.0947,-1.3264,-1.0,-1.0,-1.0
2200,-2.0161,-0.4034,4.564,-0.0814,4.4939,0.1724,1.0,-1.0,-1.0
2300,0.4652,0.2825,1.8266,-5.6527,4.2234,2.2075,1.0,-1.0,1.0
2400,-0.6675,-0.0882,1.4298,-8.1618,3.9816,2.6288,1.0,-1.0,1.0
2500,0.7338,0.0645,1.5007,-9.335,3.4237,1.8364,1.0,-1.0,1.0
2600,-0.0013,0.1394,1.5119,-10.0628,2.3583,0.7685,1.0,-1.0,1.0
2700,-0.4892,-1.4019,0.5465,-8.6191,-1.154,2.5187,1.0,-1.0,1.0
2800,-2.6015,-3.5842,0.2364,-6.4619,-2.8252,4.4819,1.0,-1.0,1.0
2900,-3.0515,-4.1525,-0.5284,-2.9185,-5.5976,8.1068,1.0,1.0,1.0
3000,-1.679,-3.9919,-0.3182,0.0192,-6.7732,8.8202,1.0,1.0,1.0
3100,1.0682,-4.8019,0.1537,5.284,-6.2465,6.7493,-1.0,1.0,1.0
3200,0.9782,-1.2942,0.6984,4.786,-3.7421,9.9695,-1.0,1.0,1.0
3300,-0.0578,-2.424,0.3456,7.3717,-4.0007,6.5984,-1.0,1.0,1.0
3400,0.5588,-0.2078,0.4775,8.3318,-5.3893,8.2169,-1.0,1.0,1.0
3500,0.3088,0.6131,-0.0019,7.6614,-3.4764,6.9719,-1.0,1.0,1.0
3600,0.6454,2.8901,0.3171,6.6559,-3.1077,9.3278,-1.0,1.0,1.0
3700,-0.2494,4.3828,1.9009,5.4947,-3.5602,12.7371,-1.0,1.0,1.0
3800,-0.7789,3.0435,0.3195,1.1277,-4.4029,7.7764,1.0,1.0,1.0
3900,0.307,2.0816,-0.0077,-1.6041,-3.9672,8.351,1.0,1.0,1.0
4000,0.7256,1.5716,-0.1183,-2.9209,-4.7357,9.2033,1.0,1.0,1.0
4100,0.497,1.4021,-0.5212,-4.5825,-3.7062,8.5257,1.0,1.0,1.0
4200,1.1189,2.0379,-0.4373,-5.6599,-2.8683,8.1187,1.0,1.0,1.0
4300,1.0216,1.5162,-1.1871,-6.8761,-2.2003,6.7469,1.0,-1.0,1.0
4400,0.9142,1.0754,-0.8202,-7.5274,-1.3096,4.5945,1.0,-1.0,1.0
4500,2.3944,1.348,-2.2207,-7.2472,-0.2753,5.3008,1.0,-1.0,1.0
4600,2.0094,1.048,-2.0408,-6.754,1.3767,3.4237,1.0,-1.0,1.0
4700,1.2913,1.2025,-2.8479,-7.0078,5.8802,-2.739,1.0,-1.0,-1.0
4800,0.2236,1.193,-2.5381,-3.8978,6.9168,-2.7342,1.0,-1.0,-1.0
4900,-0.3738,1.3979,-2.8533,-0.3184,8.2744,-3.0382,1.0,-1.0,-1.0
5000,1.0552,0.631,-2.0243,1.7262,8.1092,-2.6288,-1.0,-1.0,-1.0
5100,0.9872,0.5431,-1.7131,3.3639,8.5808,-5.1523,-1.0,-1.0,-1.0
5200,0.9883,0.4719,-1.5028,4.5921,8.418,-4.695,-1.0,-1.0,-1.0
5300,0.6081,0.6523,0.0605,5.1571,8.2313,-4.525,-1.0,-1.0,-1.0
5400,-0.0743,-0.2507,-0.251,4.6974,10.1466,-5.545,-1.0,-1.0,-1.0
5500,-1.2255,-1.9825,1.5116,4.379,10.5393,-3.8211,-1.0,-1.0,-1.0
5600,-1.8708,-2.6004,5.3418,2.7892,11.224,-5.2241,-1.0,-1.0,-1.0
5700,-0.9579,-1.4517,3.7422,-1.3048,5.4875,-1.1923,1.0,-1.0,-1.0
5800,0.4322,-0.2737,1.5745,-6.1315,7.0102,2.0087,1.0,-1.0,-1.0
5900,-0.4024,-0.271,1.4602,-7.8673,8.3175,-0.2921,1.0,-1.0,-1.0
6000,-0.453,-0.559,0.9004,-8.2791,4.0893,-0.2849,1.0,-1.0,-1.0
6100,-0.1511,-0.3435,0.8111,-8.6383,2.3343,0.4788,1.0,-1.0,-1.0
6200,-1.3099,-1.2841,0.2638,-8.7508,0.8236,0.6225,1.0,-1.0,-1.0
6300,-3.5245,-2.1866,0.4133,-8.6526,2.6073,3.4692,1.0,-1.0,1.0
6400,-3.2772,-3.7718,0.8569,-5.3606,-1.008,5.0422,1.0,-1.0,1.0
6500,-3.1011,-3.3039,-0.0967,-2.8299,-4.9512,6.4667,1.0,1.0,1.0
6600,-2.4221,-4.573,0.0629,1.5754,-5.9256,8.1092,1.0,1.0,1.0
6700,-1.1527,-3.3276,0.1412,3.5865,-7.2592,6.4763,-1.0,1.0,1.0
6800,-0.4423,-1.5524,0.4135,5.3606,-9.0836,5.9735,-1.0,1.0,1.0
6900,0.3816,-0.5665,0.4855,5.1763,-7.7237,4.4556,-1.0,1.0,1.0
7000,-0.4234,-0.3885,-0.044,6.1052,-8.6957,5.3175,-1.0,1.0,1.0
7100,0.0344,-0.0035,-0.0035,6.1986,-7.264,4.6902,-1.0,1.0,1.0
7200,-0.4189,0.5993,-0.1609,6.1746,-7.5034,4.3622,-1.0,1.0,1.0
7300,-0.0456,3.1965,-0.5244,6.1699,-7.92,7.7309,-1.0,1.0,1.0
7400,0.6723,5.9693,-2.1538,4.6184,-6.0549,4.798,-1.0,1.0,1.0
7500,-0.0749,2.3654,-1.0203,-1.2115,-4.4197,3.3567,1.0,1.0,1.0
7600,0.5875,1.4157,-0.4647,-3.1771,-6.7277,5.5474,1.0,1.0,1.0
7700,1.1756,1.0563,-0.4687,-4.2186,-7.7117,8.7795,1.0,1.0,1.0
7800,1.5455,1.9414,-1.6587,-5.794,-6.2848,6.6032,1.0,1.0,1.0
7900,2.2092,2.0022,-1.2534,-7.5034,-3.5913,5.3558,1.0,1.0,1.0
8000,1.4464,1.4509,-1.4741,-8.2241,-1.6759,4.4987,1.0,-1.0,1.0
8100,1.643,1.4264,-1.2867,-8.6862,0.6656,2.2553,1.0,-1.0,1.0
8200,1.525,1.2191,-1.8165,-8.1977,1.8196,-1.1468,1.0,-1.0,1.0
8300,1.2401,1.2169,-2.4523,-6.6415,3.2178,-1.1444,1.0,-1.0,1.0
8400,-0.1511,0.9201,-2.541,-4.8267,5.8419,-2.9018,1.0,-1.0,-1.0
8500,-0.7005,0.2651,-4.2077,-0.7733,2.5666,-3.0933,1.0,-1.0,-1.0
8600,-0.4253,0.6707,-4.2477,1.4868,14.8105,-6.0549,-1.0,-1.0,-1.0
8700,-0.1884,0.3416,-2.6582,3.5817,12.5336,-2.0327,-1.0,-1.0,1.0
8800,-0.0775,0.2968,-1.1636,4.2425,12.6198,-2.217,-1.0,-1.0,1.0
8900,-0.1966,0.2273,0.2465,4.8171,11.7579,-1.2306,-1.0,-1.0,1.0
9000,0.0429,-0.1431,0.1013,5.6862,12.2583,-1.5395,-1.0,-1.0,1.0
9100,0.1034,0.1514,0.312,5.5162,9.6798,-0.0958,-1.0,-1.0,1.0
9200,-0.3858,-0.1982,4.5133,5.2433,18.2031,-3.0694,-1.0,-1.0,1.0
9300,-1.1831,-1.8367,4.7497,4.3551,-1.3695,3.3327,-1.0,-1.0,1.0
9400,0.6142,-0.5185,2.0885,-2.1476,4.1084,1.9393,1.0,-1.0,1.0
9500,-0.3906,-0.06,2.1336,-6.687,11.8537,-0.1484,1.0,-1.0,-1.0
9600,0.1087,0.7357,1.3784,-6.924,6.3566,-1.3958,1.0,-1.0,-1.0
9700,-0.0061,0.5836,1.1442,-6.8426,4.1061,-3.7373,1.0,-1.0,-1.0
9800,0.0653,-1.6321,1.518,-7.9535,2.5498,-1.3647,1.0,-1.0,-0.8294
9900,-2.5365,-4.0273,2.5634,-7.4555,5.8299,-1.3408,1.0,-1.0,1.0
10000,-2.0744,-3.1056,2.3241,-7.3263,-3.0454,6.0478,1.0,-1.0,1.0
10100,-1.6923,-2.3982,0.9403,-4.2473,-4.1994,6.0142,1.0,1.0,1.0
10200,-1.5116,-4.0889,-0.0671,-1.3312,-6.6224,8.4372,1.0,1.0,1.0
10300,-0.1596,-2.8482,-0.2292,1.7262,-6.6008,8.5353,1.0,1.0,1.0
10400,0.8124,-3.3582,-0.1434,2.6504,-5.794,7.2736,-1.0,1.0,1.0
10500,-0.3528,-3.1991,0.149,5.6814,-7.9607,7.2161,-1.0,1.0,1.0
10600,0.5598,-0.6222,0.4684,5.442,-6.3279,6.8139,-1.0,1.0,1.0
10700,-0.0504,-0.5137,-0.0458,6.6966,-6.6032,4.9057,-1.0,1.0,1.0
10800,0.3083,-0.3797,0.2385,6.4691,-4.6543,5.217,-1.0,1.0,1.0
10900,-0.1487,-0.0139,0.4786,6.9647,-6.8618,6.2967,-1.0,1.0,1.0
11000,-0.0695,1.1375,0.2864,6.3279,-5.8035,7.2137,-1.0,1.0,1.0
11100,-0.4754,3.1221,0.0861,6.2441,-5.0973,7.4292,-1.0,1.0,1.0
11200,-1.2377,1.0195,-0.6731,4.3574,-8.1355,5.3032,-1.0,1.0,1.0
11300,-0.9513,1.2497,-0.991,1.7095,-8.5353,4.4269,-1.0,1.0,1.0
11400,-0.097,1.5473,-1.7205,0.0287,-8.1738,4.7597,-1.0,1.0,1.0
11500,0.4389,1.5218,-1.4019,-2.818,-4.9368,5.545,1.0,1.0,1.0
11600,1.1343,1.7509,-1.2961,-3.7469,-8.77,6.4979,1.0,1.0,1.0
11700,0.9792,1.0088,-1.1969,-5.7437,-6.3853,4.4556,1.0,1.0,1.0
11800,0.8047,0.4378,-0.9808,-7.0294,-5.2864,5.1451,1.0,1.0,1.0
11900,0.5923,0.8172,-0.8964,-7.7165,-3.7733,4.2377,1.0,1.0,1.0
12000,0.7925,0.9193,-1.5964,-8.078,-3.1244,3.7182,1.0,1.0,1.0
12100,0.9971,0.3837,-1.9907,-8.5497,-1.0391,3.1939,1.0,-1.0,1.0
12200,2.7592,0.5033,-2.9116,-7.8458,1.6975,2.1931,1.0,-1.0,1.0
12300,2.8895,0.324,-2.8869,-6.4572,6.4787,1.6496,1.0,-1.0,1.0
12400,1.1157,0.1135,-1.8157,-4.9991,8.0373,-0.2705,1.0,-1.0,1.0
12500,0.2348,0.0005,-1.3227,-3.5314,8.2528,-2.0183,1.0,-1.0,0.3581
12600,-0.1631,0.2036,-1.364,-1.0008,5.4348,-1.9776,1.0,-1.0,-1.0
12700,0.1434,0.3261,-2.5844,1.4437,6.1411,-3.0813,-1.0,-1.0,-1.0
12800,0.1178,0.4018,-1.2151,2.6312,8.3941,-4.6112,-1.0,-1.0,-1.0
12900,0.158,0.4676,-0.7061,3.7469,6.2273,-3.4692,-1.0,-1.0,-1.0
13000,0.0661,0.2769,-0.6129,4.1827,7.3095,-4.8076,-1.0,-1.0,-1.0
13100,-0.4812,0.315,-0.2646,5.1475,6.5386,-4.7501,-1.0,-1.0,-1.0
13200,-0.4938,-0.0424,-0.3019,5.0039,8.7364,-4.4484,-1.0,-1.0,-1.0
13300,-0.3437,-0.4588,0.9601,3.9528,11.4419,-4.4125,-1.0,-1.0,-1.0
13400,-0.449,-2.2815,5.3692,7.0174,2.1763,4.7932,-1.0,-1.0,-1.0
13500,-0.0743,-0.8641,1.4751,-3.1891,-0.8619,4.2497,1.0,-1.0,-1.0
13600,0.1857,-0.3744,0.4906,-6.79,11.8585,-4.4053,1.0,-1.0,-1.0
13700,-0.033,-0.3296,1.4237,-6.9959,8.7676,-4.3048,1.0,-1.0,-1.0
13800,0.3238,0.1308,0.9387,-6.5122,2.9401,-5.4061,1.0,-1.0,-1.0
13900,0.0999,-0.3328,0.1727,-7.1946,2.1332,-4.0701,1.0,-1.0,-1.0
14000,0.0317,-0.7743,-0.3773,-7.5226,3.2082,-4.6711,1.0,-1.0,-1.0
14100,-3.0686,-4.2439,-0.1601,-6.9695,3.5793,-2.0566,1.0,-1.0,-1.0
14200,-0.9819,-0.9004,2.5996,-8.8083,6.8211,8.3414,1.0,-1.0,1.0
14300,-1.4504,-1.8346,0.7663,-7.3885,-1.3001,5.4516,1.0,-1.0,1.0
14400,-1.0296,-2.1861,0.4956,-6.6343,-0.4453,6.3662,1.0,-1.0,1.0
14500,-0.4175,-1.0946,0.1871,-5.6862,-0.5028,9.3541,1.0,-1.0,1.0
14600,-0.4823,-0.7221,0.1985,-4.64,-1.8842,7.5345,1.0,-1.0,1.0
14700,-0.6041,-1.2945,0.0258,-2.7892,-2.9951,6.5697,1.0,-1.0,1.0
14800,-1.7104,-5.253,-0.7522,2.4349,-6.292,9.1147,1.0,1.0,1.0
14900,-1.8762,-4.326,-0.6528,4.2306,-5.9855,11.576,-1.0,1.0,1.0
15000,-0.632,-1.2947,-0.0925,4.3072,-6.7876,7.7213,-1.0,1.0,1.0
15100,-0.1042,-0.4474,-0.0035,5.0781,-7.4675,4.3551,-1.0,1.0,1.0
15200,0.0392,-0.0682,-0.3448,5.3558,-8.1475,4.5657,-1.0,1.0,1.0
15300,0.0211,0.2411,-0.1426,4.4772,-6.9288,5.9472,-1.0,1.0,1.0
15400,0.3051,1.3848,-0.1625,5.3319,-7.6088,6.7301,-1.0,1.0,1.0
