timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.0061,0.0458,0.0389,-1.5921,-2.0901,9.6798,1.0,1.0,1.0
100,0.0242,0.1183,-0.0091,-1.5682,-2.0566,9.6343,1.0,1.0,1.0
200,0.0248,-0.0061,0.0626,-1.5682,-2.047,9.809,1.0,1.0,1.0
300,0.0258,0.0141,-0.0203,-1.5945,-2.0973,9.8952,1.0,1.0,1.0
400,0.0288,0.0312,-0.0634,-1.7885,-2.1428,9.6702,1.0,1.0,1.0
500,0.1023,0.3293,-0.4783,-1.7741,-2.1715,9.833,1.0,1.0,1.0
600,0.2534,0.3408,-0.4327,-2.1691,-1.9417,8.5808,1.0,1.0,1.0
700,0.647,0.404,-0.7322,-2.8635,-1.2163,9.3541,1.0,1.0,1.0
800,1.1762,0.2342,-0.8023,-3.3447,0.4118,8.0613,1.0,-1.0,1.0
900,0.5425,-0.0759,-0.4477,-3.316,1.4844,8.0924,1.0,-1.0,1.0
1000,0.7735,-0.194,-0.4058,-3.3567,2.1332,8.746,1.0,-1.0,1.0
1100,0.3784,-0.9808,-0.6019,-2.7725,2.6097,8.5808,1.0,-1.0,1.0
1200,-0.2153,-1.1074,-0.2872,-1.6735,2.9784,9.1243,1.0,-1.0,1.0
1300,-0.445,-0.8103,-0.489,-0.5195,2.7916,7.8889,-1.0,-1.0,1.0
1400,-0.0946,-1.3427,-0.2838,0.4884,2.7198,10.2568,-1.0,-1.0,1.0
1500,-0.3104,-0.8937,-0.1178,1.652,2.7701,9.6845,-1.0,-1.0,1.0
1600,-0.8018,-1.1413,0.218,2.569,1.6233,9.4906,-1.0,-1.0,1.0
1700,-1.5831,-0.7035,0.6507,3.4381,0.5028,9.9,-1.0,1.0,1.0
1800,-2.3323,0.0434,0.9414,3.9121,-2.5809,9.9264,-1.0,1.0,1.0
1900,-1.5489,-0.0983,0.3576,3.8786,-3.3519,8.3055,-1.0,1.0,1.0
2000,-1.161,0.206,0.0032,4.0893,-5.3103,8.5425,-1.0,1.0,1.0
2100,-0.8753,0.4639,-0.1852,3.4788,-5.1044,7.4124,-1.0,1.0,1.0
2200,-0.4309,0.6443,-0.1031,3.1125,-6.3015,7.2712,-1.0,1.0,1.0
2300,0.0973,1.6062,-0.6939,2.2051,-5.9616,8.3079,-1.0,1.0,1.0
2400,1.2073,1.6481,-0.4122,-0.5794,-5.2912,6.1699,-1.0,1.0,1.0
2500,1.4517,2.0267,-0.3762,-1.6712,-5.861,10.3621,1.0,1.0,1.0
2600,0.7293,1.8061,-0.4255,-3.8834,-4.379,6.9216,1.0,1.0,1.0
2700,0.5164,1.1695,-0.6893,-5.3726,-2.7988,8.2911,1.0,1.0,1.0
2800,0.6992,0.4154,-0.7096,-6.359,-1.9058,6.3997,1.0,1.0,1.0
2900,1.0666,0.1244,-0.8577,-6.687,-0.3998,4.9919,1.0,-1.0,1.0
3000,0.825,-0.5785,-0.9974,-6.2632,0.2131,7.0006,1.0,-1.0,1.0
3100,1.291,-1.2732,-1.6832,-5.3151,3.0526,6.2201,1.0,-1.0,1.0
3200,0.2835,-1.8461,-1.2873,-3.4189,4.3527,6.6343,1.0,-1.0,1.0
3300,-0.6723,-1.7445,-0.9483,-1.4629,3.8642,7.8266,1.0,-1.0,1.0
3400,-0.3643,-1.3422,-0.8436,-0.2514,4.1396,8.193,-1.0,-1.0,1.0
3500,-0.4575,-1.4194,-0.4596,1.5179,3.2322,9.1363,-1.0,-1.0,1.0
3600,-0.6827,-0.696,-0.5305,3.2058,1.9776,11.6215,-1.0,-1.0,1.0
