timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.0989,-0.0149,0.0195,-0.3735,-0.0287,9.8665,-1.0,-1.0,1.0
100,-0.0248,-0.0192,0.0266,-0.3807,-0.0335,9.8952,-1.0,-1.0,1.0
200,-0.0386,0.0706,0.0389,-0.4286,-0.1987,10.0078,-1.0,-1.0,1.0
300,-0.2166,0.1114,-0.1047,-0.4357,-0.2035,9.8617,-1.0,-1.0,1.0
400,0.0139,-0.036,-0.0072,-0.4669,-0.3184,9.9671,-1.0,-1.0,1.0
500,0.0083,0.0037,0.0037,-0.4525,-0.3352,9.9982,-1.0,-1.0,1.0
600,0.0253,0.0237,-0.0338,-0.4812,-0.3065,9.9599,-1.0,-1.0,1.0
700,0.0464,-0.0035,-0.0229,-0.3783,-0.2873,9.9503,-1.0,-1.0,1.0
800,-0.0107,0.0168,0.0037,-0.4932,-0.3543,9.9503,-1.0,-1.0,1.0
900,0.0674,-0.0013,0.048,-0.4405,-0.1772,9.9168,-1.0,-1.0,1.0
1000,0.328,-0.0778,0.0368,-0.4166,0.4238,9.809,-1.0,-1.0,1.0
1100,0.032,0.2025,0.008,-0.5411,0.1053,10.4124,-1.0,-1.0,1.0
1200,0.1202,0.3477,0.0418,-0.9888,-0.3903,9.9096,-1.0,-1.0,1.0
1300,-0.0746,-0.0093,0.077,-1.1181,-0.1077,9.426,-1.0,-1.0,1.0
1400,-0.1295,-0.0282,-0.0997,-0.7422,-0.1149,10.0987,-1.0,-1.0,1.0
1500,-0.5391,-0.2166,-0.1492,-0.7374,-0.6919,10.4842,-1.0,-1.0,1.0
1600,-0.1809,0.1708,0.0304,-0.8212,-0.5626,9.6271,-1.0,-1.0,1.0
1700,-0.1463,-0.008,0.0397,-0.8882,-0.0958,9.2225,-1.0,-1.0,1.0
1800,0.218,-0.0991,0.0496,-0.4046,-1.0702,8.5329,-1.0,-1.0,1.0
1900,0.4506,-0.6885,0.1761,-0.5698,-0.3041,9.6319,-1.0,-1.0,1.0
2000,-0.1849,-1.1447,0.0149,0.8404,-0.5052,10.5177,-1.0,-1.0,1.0
2100,0.1961,-0.0989,0.125,1.3216,-0.5291,9.5026,-1.0,-1.0,1.0
2200,-0.2238,-0.3563,-0.1378,1.5395,-0.3232,9.6845,-1.0,-1.0,1.0
2300,-0.2329,-0.2489,-0.0853,1.7023,-0.7494,10.1466,-1.0,-1.0,1.0
2400,-0.0957,0.0413,-0.0139,1.6783,-0.5722,9.845,-1.0,-1.0,1.0
2500,-0.0871,0.0679,-0.0163,1.6999,-0.6991,9.6175,-1.0,-1.0,1.0
2600,-0.1234,0.0714,-0.02,1.2833,-0.656,9.4834,-1.0,-1.0,1.0
2700,-0.2006,0.1316,-0.0514,1.4653,-1.0798,9.7516,-1.0,-1.0,1.0
2800,-0.3464,0.3978,-0.2361,1.1803,-1.0534,10.1682,-1.0,-1.0,1.0
2900,-0.4338,0.2771,-0.4647,0.6536,-1.5514,9.7564,-1.0,-1.0,1.0
3000,-0.1756,-0.1007,-0.4293,0.2921,-1.6688,9.7971,-1.0,1.0,1.0
3100,-0.2553,-0.1903,-0.271,0.3855,-2.1476,9.4403,-1.0,1.0,1.0
3200,-0.3917,0.1431,-0.6297,0.4525,-2.1045,10.0868,-1.0,1.0,1.0
