timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,-1.3006,0.5063,0.0482,-1.1995,-2.7461,10.58,-1.0,1.0,1.0
100,-0.8697,0.3035,0.0695,-1.2713,-3.1436,9.5505,-0.187,1.0,1.0
200,-0.9678,0.3179,0.3443,-1.4916,-3.3136,10.5153,1.0,1.0,1.0
300,-2.1373,0.6763,0.6342,-1.3527,-5.2337,6.4141,1.0,1.0,1.0
400,-2.4443,-0.7818,0.8735,-0.8308,-7.9464,4.1515,1.0,1.0,1.0
500,0.0512,0.0544,0.0296,-0.0239,-9.5169,3.9552,-1.0,1.0,1.0
600,0.7733,-0.3128,-0.1239,-0.2059,-8.6622,4.276,-1.0,1.0,1.0
700,2.6665,-1.3462,-0.7019,0.1317,-7.762,5.3463,-1.0,1.0,1.0
800,5.3759,-0.1628,0.5529,0.0168,-3.5099,10.6231,-1.0,1.0,1.0
900,3.7974,-0.4775,-0.133,-0.17,2.49,10.7021,-1.0,-1.0,1.0
1000,1.8229,0.1212,-0.0719,-0.0886,4.2952,8.6574,-1.0,-1.0,1.0
1100,0.2385,-0.1029,-0.1218,-0.1772,4.6376,8.1834,-1.0,-1.0,1.0
1200,-0.3984,0.1588,-0.0967,-0.0982,4.8435,9.0142,-1.0,-1.0,1.0
1300,-2.5231,0.5404,-0.166,-0.6823,3.802,7.6878,-1.0,-1.0,1.0
1400,-4.823,0.4618,0.1527,-1.3671,0.7398,7.932,-0.759,-1.0,1.0
1500,-3.8371,0.3118,1.0285,-1.1851,-3.9193,8.1211,-0.187,1.0,1.0
1600,-2.9103,-0.3944,1.2175,0.6584,-8.6526,4.9368,-1.0,1.0,1.0
1700,-1.4322,0.0131,0.5263,0.8619,-9.6869,5.0829,-1.0,1.0,1.0
1800,-0.1897,0.2435,-0.0941,0.893,-9.1794,3.3806,-1.0,1.0,1.0
1900,0.2971,0.0501,-0.2172,0.3184,-8.5281,4.4556,-1.0,1.0,1.0
2000,2.5516,-0.8684,-0.445,0.7422,-9.007,3.2154,-1.0,1.0,1.0
2100,5.4961,0.2084,0.5388,0.6345,-2.7366,10.0509,-1.0,1.0,1.0
2200,3.5733,1.0792,0.1455,-0.6752,3.2633,10.2017,-1.0,-1.0,1.0
2300,0.8732,0.1463,-0.1436,-0.747,4.2353,9.3158,-1.0,-1.0,1.0
2400,0.1138,-0.1988,-0.2574,-0.3184,4.3383,8.8561,-1.0,-1.0,1.0
2500,0.1047,-0.1319,-0.0493,-0.3089,3.9504,8.9567,-1.0,-1.0,1.0
