timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.0213,0.024,-0.008,-0.0239,-1.0439,10.0604,-1.0,1.0,1.0
100,0.0011,0.0242,-0.0008,-0.1963,-1.0654,9.8952,-1.0,1.0,1.0
200,0.0048,0.0176,0.0112,-0.1269,-1.0534,9.9455,-1.0,1.0,1.0
300,-0.0104,-0.0027,-0.0024,-0.158,-1.0582,9.9144,-1.0,1.0,1.0
400,0.0032,0.0069,0.0003,-0.1077,-1.0439,10.1107,-1.0,1.0,1.0
500,0.0013,0.0157,-0.0043,-0.1006,-1.0678,9.8162,-1.0,1.0,1.0
600,0.041,0.1303,-0.052,-0.2322,-1.1971,10.0197,-1.0,1.0,1.0
700,-0.0922,1.6776,0.0466,-0.2227,-1.403,11.6526,-1.0,1.0,1.0
800,0.1452,2.6897,0.1407,-2.8563,-1.4245,6.529,1.0,1.0,1.0
900,0.0847,2.3923,-0.0568,-4.5562,-1.5562,9.1243,1.0,1.0,1.0
1000,-0.2134,1.4472,-0.1471,-6.6056,-1.5514,7.3598,1.0,1.0,1.0
1100,-0.0679,0.7432,-0.1322,-7.3622,-1.1444,6.778,1.0,1.0,1.0
1200,-0.1881,0.1287,-0.0149,-7.4891,-1.7119,6.1076,1.0,1.0,1.0
1300,-0.0067,-0.0061,-0.1021,-7.7692,-1.81,5.9065,1.0,1.0,1.0
1400,-0.0304,0.0272,-0.0,-7.7069,-1.6113,6.5098,1.0,1.0,1.0
1500,-0.0509,-0.3563,-0.0725,-7.6806,-1.4485,5.5809,1.0,1.0,1.0
1600,0.033,-1.849,-0.0261,-7.1323,-1.8364,4.6807,1.0,1.0,1.0
1700,-0.1015,-2.7366,0.2193,-4.7908,-1.2139,8.5162,1.0,1.0,1.0
1800,-0.3579,-2.2807,0.4698,-2.3224,-2.2841,11.1929,1.0,1.0,1.0
1900,0.4285,-2.4437,0.377,-0.5483,-1.6927,9.2871,-1.0,1.0,1.0
2000,0.7741,-2.3707,0.8953,2.7222,-0.3232,7.3167,-1.0,1.0,1.0
2100,0.3387,-2.4307,0.2044,4.9799,-0.7063,10.2687,-1.0,1.0,1.0
2200,0.2172,-1.4349,0.3683,6.4332,-0.3807,8.5521,-1.0,-1.0,1.0
2300,-0.2313,-1.0651,0.2337,7.0892,0.0383,8.1044,-1.0,-1.0,1.0
2400,0.0597,-0.134,0.1484,7.4484,-0.5555,7.7955,-1.0,-1.0,1.0
2500,0.158,0.5281,-0.1865,7.6974,0.0838,7.2688,-1.0,-1.0,1.0
2600,0.2558,2.1946,-0.5108,6.5625,0.6057,6.0334,-1.0,-1.0,1.0
2700,0.2289,2.5325,0.5204,5.2888,-0.8619,9.8665,-1.0,-1.0,1.0
2800,-0.6355,2.2111,-0.2603,2.0111,-0.261,9.3709,-1.0,-1.0,1.0
2900,-0.1524,1.1775,0.0645,0.2945,-0.6536,9.3901,-1.0,-1.0,1.0
3000,-0.227,0.5761,-0.1639,-0.972,-0.7207,8.3558,-1.0,-1.0,1.0
3100,-0.0618,0.4594,-0.0461,-1.7909,-0.4764,8.521,1.0,-1.0,1.0
3200,-0.02,0.0389,-0.0549,-1.9249,-0.079,9.2272,1.0,-0.202,1.0
3300,0.1271,0.308,0.0027,-2.2984,-0.68,9.1458,1.0,1.0,1.0
3400,0.1282,-0.1324,-0.0634,-2.1045,-1.2546,9.9695,1.0,1.0,1.0
3500,1.5759,-0.2041,-0.1817,-2.2482,-0.498,9.9623,1.0,-1.0,1.0
3600,5.2101,-0.51,-0.3472,-0.2538,2.4588,10.5848,1.0,-1.0,1.0
3700,4.4731,-0.5569,0.652,-1.063,7.015,6.4955,1.0,-1.0,1.0
3800,1.4061,-0.214,0.5652,-2.1237,8.8969,3.9552,1.0,-1.0,1.0
3900,0.1151,0.1322,0.1932,-2.7797,8.5401,2.7581,1.0,-1.0,1.0
4000,-1.7778,-0.2691,-0.7474,-2.4181,7.8362,3.0646,1.0,-1.0,1.0
4100,-5.1379,-0.5987,-1.3011,-0.5459,7.3239,7.1036,-1.0,-1.0,1.0
4200,-4.1808,0.9555,-0.5569,0.1077,1.2474,9.2416,-1.0,-1.0,1.0
4300,-2.0374,0.2481,-0.2268,-0.4693,-1.233,10.4315,-1.0,1.0,1.0
4400,-2.0528,0.4415,-0.4684,-1.1325,-2.9928,9.7181,-1.0,1.0,1.0
4500,-2.7302,0.6462,-0.299,-2.0758,-3.8523,8.4874,1.0,1.0,1.0
4600,-2.0451,0.154,-0.2166,-1.9704,-7.3789,5.3654,1.0,1.0,1.0
4700,-1.372,-0.1442,-0.0037,-1.8244,-8.3294,4.4987,1.0,1.0,1.0
4800,-1.2217,-0.025,-0.1559,-1.8675,-9.3039,4.7812,1.0,1.0,1.0
4900,-0.6326,0.1727,-0.2515,-2.387,-9.6391,3.474,1.0,1.0,1.0
5000,-0.3158,0.1575,0.1314,-2.5474,-9.4739,2.4565,1.0,1.0,1.0
5100,4.5586,0.194,0.3475,-3.0574,-7.8745,2.3296,1.0,1.0,1.0
5200,4.58,-0.8279,0.3267,-0.8164,-5.0996,10.2208,-1.0,1.0,1.0
5300,3.9714,-0.4445,0.1522,-1.2043,-3.0526,9.0812,-1.0,1.0,1.0
5400,1.3328,0.5079,0.7528,0.0646,0.2083,9.3134,-1.0,-1.0,1.0
5500,1.2798,-0.057,0.3043,-0.3232,2.3248,10.6877,-1.0,-1.0,1.0
5600,0.1804,0.0298,0.2856,-0.1963,3.6033,9.6534,-1.0,-1.0,1.0
5700,-0.9209,0.4413,-0.1748,-0.3687,2.5474,10.1634,-1.0,-1.0,1.0
5800,-0.3008,0.2062,-0.1516,-0.8021,1.9944,10.1634,-1.0,-1.0,1.0
5900,0.2385,1.6755,0.5433,-1.3791,2.8491,12.5767,-1.0,-1.0,1.0
6000,-0.182,2.5999,0.9856,-2.9784,0.1101,9.9695,1.0,-1.0,1.0
6100,-0.2108,1.4197,0.2044,-5.4755,0.0479,5.4444,1.0,-1.0,1.0
6200,0.2145,1.0813,-0.0845,-6.9815,0.4717,6.1746,1.0,-1.0,1.0
6300,-0.1069,0.1503,0.057,-7.4244,-0.759,4.7405,1.0,-1.0,1.0
6400,0.0655,0.4724,-0.2372,-7.8003,0.6967,6.5314,1.0,-1.0,1.0
6500,-0.6214,0.9057,0.4101,-8.1211,-0.8811,5.3798,1.0,-1.0,1.0
6600,-0.288,0.0123,0.1681,-8.2815,-0.6967,4.2497,1.0,-1.0,1.0
6700,-0.0192,-1.9486,-0.2611,-7.3526,-1.2546,3.8211,1.0,-1.0,1.0
6800,-0.571,-3.5994,-0.3022,-5.5138,-0.3879,5.4923,1.0,-1.0,1.0
6900,0.1471,-3.8168,-0.4013,-1.4437,-0.8332,9.1913,1.0,-1.0,1.0
