timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.2619,0.0778,0.1719,-0.3376,-1.1923,9.9,-1.0,1.0,1.0
100,-0.4663,0.0416,0.0099,-0.1748,-1.4629,8.7724,-1.0,1.0,1.0
200,0.0112,-0.1514,0.0264,-0.0455,-1.415,10.3382,-1.0,1.0,1.0
300,0.0104,0.0733,-0.0053,0.0551,-1.0965,10.4196,-1.0,1.0,1.0
400,-0.2353,0.0104,0.0101,-0.3328,-1.4461,9.3805,-1.0,1.0,1.0
500,-0.8668,0.182,0.1559,-0.2251,-2.2386,10.1131,-1.0,1.0,1.0
600,-1.2177,0.9739,0.0317,-0.5291,-3.4046,10.1107,-1.0,1.0,1.0
700,-0.9659,1.8591,-0.3531,-1.9489,-4.6208,6.7397,1.0,1.0,1.0
800,-1.165,1.3816,-0.0674,-3.8379,-6.0358,8.0421,1.0,1.0,1.0
900,-0.0456,2.015,-1.1858,-4.1156,-6.3662,7.3885,1.0,1.0,1.0
1000,0.4919,1.962,-1.6041,-6.4763,-4.3694,7.3981,1.0,1.0,1.0
1100,1.3901,0.7837,-1.6625,-7.5106,-3.0933,2.9305,1.0,1.0,1.0
1200,0.6289,-0.6773,-0.9089,-8.1475,-1.1301,3.1268,1.0,1.0,1.0
1300,0.9643,0.1274,-0.8625,-8.1235,-0.146,5.43,1.0,-1.0,1.0
1400,0.3536,-0.4479,-0.7189,-8.2025,0.0742,4.4604,1.0,-1.0,1.0
1500,0.8716,-1.2231,-1.1327,-7.1467,2.0494,5.1188,1.0,-1.0,1.0
1600,0.813,-0.6726,-0.9217,-5.94,2.9808,6.7756,1.0,-1.0,1.0
1700,0.3206,-0.7123,-1.0451,-5.3582,5.1547,6.9695,1.0,-1.0,1.0
1800,0.7933,-1.2905,-1.3462,-3.8595,5.6719,6.9025,1.0,-1.0,1.0
1900,0.6073,-2.4256,-0.6885,-1.2474,6.11,6.0573,1.0,-1.0,1.0
2000,-1.8445,-1.6347,-1.1391,0.9146,6.0837,6.9025,-1.0,-1.0,1.0
2100,-0.8124,-1.1498,0.3259,2.0207,5.691,9.5193,-1.0,-1.0,1.0
2200,-0.8676,-1.0171,0.125,2.9521,2.5594,6.2249,-1.0,-1.0,1.0
2300,-2.209,-1.8375,0.2915,4.6878,4.3766,11.485,-1.0,-1.0,1.0
2400,-2.3635,-0.4719,0.4074,5.1188,1.2498,10.3956,-1.0,-1.0,1.0
2500,-2.6033,0.1958,-0.2004,4.8866,-1.008,9.6079,-1.0,1.0,1.0
2600,-2.0494,0.4684,-0.0576,4.9967,-3.7206,8.1259,-1.0,1.0,1.0
2700,-2.0368,0.061,-0.1522,5.0374,-5.0757,8.4132,-1.0,1.0,1.0
2800,-1.185,0.1689,-0.3078,4.7453,-6.7445,6.7062,-1.0,1.0,1.0
2900,-0.7927,1.3901,-0.7293,3.5817,-6.9623,6.6367,-1.0,1.0,1.0
3000,-0.5409,0.4599,-0.3408,2.1117,-8.0445,7.343,-1.0,1.0,1.0
3100,-0.5356,2.1986,-0.5718,0.6847,-8.6263,6.1315,-1.0,1.0,1.0
3200,-0.6683,1.6212,-1.242,-1.561,-7.9894,5.9568,1.0,1.0,1.0
3300,-0.0525,2.2436,-1.9065,-2.8659,-8.2863,4.4748,1.0,1.0,1.0
3400,1.7392,1.9239,-2.5167,-5.3343,-5.6503,5.0422,1.0,1.0,1.0
3500,0.2699,0.6656,-0.7826,-7.7859,-3.0909,3.8044,1.0,1.0,1.0
3600,1.1418,0.5553,-1.3368,-8.2073,-3.9385,5.5976,1.0,1.0,1.0
3700,1.344,-0.3118,-1.7525,-8.4156,-1.9656,2.5786,1.0,1.0,1.0
3800,0.6765,-0.4612,-0.6526,-8.5521,-0.6153,2.2003,1.0,-0.202,1.0
3900,1.3347,-2.177,-2.2231,-7.4699,1.6831,3.8547,1.0,-1.0,1.0
4000,1.7443,-1.7658,-1.1149,-5.1188,4.6448,6.3758,1.0,-1.0,1.0
4100,0.6968,-1.3829,-0.8679,-3.9002,6.754,7.6303,1.0,-1.0,1.0
4200,-0.2217,-0.999,-1.4338,-2.0327,6.1842,7.1898,1.0,-1.0,1.0
4300,-0.5513,-1.007,-1.3041,-0.1077,6.4093,8.3893,-1.0,-1.0,1.0
4400,-0.3645,-1.3981,-0.4439,1.5778,5.1739,8.7125,-1.0,-1.0,1.0
4500,-0.2156,-1.0448,0.1617,2.8994,5.3917,8.8394,-1.0,-1.0,1.0
4600,0.1023,-0.586,-0.3688,3.5506,4.6735,7.8386,-1.0,-1.0,1.0
4700,-1.3933,-1.4863,0.0842,4.8052,4.2329,9.0501,-1.0,-1.0,1.0
4800,-2.0432,-1.0459,0.3637,5.6431,3.3375,9.5744,-1.0,-1.0,1.0
4900,-1.611,-0.2747,0.0498,6.9192,1.0989,9.7947,-1.0,-1.0,1.0
5000,-2.1615,0.1857,-0.1436,6.4476,-1.4533,10.149,-1.0,1.0,1.0
5100,-2.7406,0.4783,-0.207,6.7038,-4.5586,11.4156,-1.0,1.0,1.0
5200,-1.3475,0.752,-0.1998,5.4899,-5.6599,7.58,-1.0,1.0,1.0
5300,-0.7512,-0.0163,-0.3206,5.0757,-6.3949,7.0342,-1.0,1.0,1.0
5400,-1.3352,0.8569,-0.4469,4.8698,-7.2377,7.8506,-1.0,1.0,1.0
5500,-1.7072,1.7515,-0.5753,3.62,-8.0589,4.5514,-1.0,1.0,1.0
5600,-0.5124,2.1988,-0.7773,2.3487,-8.6886,4.9344,-1.0,1.0,1.0
5700,0.8689,2.7821,-1.5743,1.3743,-9.1794,5.5809,-1.0,1.0,1.0
5800,1.5724,2.7291,-2.3467,-2.8898,-5.466,4.525,1.0,1.0,1.0
5900,-0.0618,0.9289,-0.4868,-4.9895,-6.7588,5.9041,1.0,1.0,1.0
6000,0.2896,1.5308,-1.1682,-5.8754,-5.8849,4.7621,1.0,1.0,1.0
6100,0.4533,1.1583,-1.3494,-8.0397,-2.2458,3.9624,1.0,1.0,1.0
6200,0.6017,0.2172,-0.6387,-8.3031,-1.6305,4.1659,1.0,1.0,1.0
6300,0.7165,-0.5249,-0.5172,-7.8793,-1.9273,3.5506,1.0,1.0,1.0
6400,2.461,-1.0067,-2.1138,-7.3143,0.51,3.6488,1.0,-1.0,1.0
6500,1.4818,-0.644,-1.3968,-6.2465,5.8203,7.9847,1.0,-1.0,1.0
