timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.016,0.025,0.0115,0.3328,-1.3384,9.9503,-1.0,1.0,1.0
100,0.0099,0.0464,-0.0093,0.2274,-1.2833,9.6295,-1.0,1.0,1.0
200,-0.0312,0.024,-0.0224,0.328,-1.0199,10.0293,-1.0,1.0,1.0
300,0.0352,0.0067,0.0059,0.1796,-1.0008,9.6774,-1.0,1.0,1.0
400,0.0429,0.0163,0.0075,0.3663,-1.1708,9.9479,-1.0,1.0,1.0
500,0.065,0.0112,-0.0496,0.3591,-1.0822,9.8881,-1.0,1.0,1.0
600,-0.0008,-0.0733,0.0152,0.5219,-1.1157,10.3118,-1.0,1.0,1.0
700,0.0429,0.016,0.024,0.4621,-0.8882,9.9024,-1.0,1.0,1.0
800,0.0269,0.0376,0.0043,0.4046,-1.1325,10.0485,-1.0,1.0,1.0
900,0.3749,1.51,0.2419,0.3879,-0.9529,13.4482,-1.0,1.0,1.0
1000,-0.0906,2.1722,0.2388,-1.8292,-0.5148,11.5017,1.0,-1.0,1.0
1100,0.4695,2.0971,0.3323,-3.9959,-1.1133,11.8345,1.0,-1.0,1.0
1200,0.4671,2.6177,0.4493,-5.2888,-1.798,10.2065,1.0,-1.0,1.0
1300,-0.3267,1.9806,-0.182,-7.3622,-1.2163,8.1882,1.0,-1.0,1.0
1400,-0.1407,1.7323,-0.3419,-8.2791,0.3424,3.814,1.0,-1.0,1.0
1500,-0.2595,0.5766,0.1641,-9.0357,-0.3472,4.47,1.0,-1.0,1.0
1600,-0.207,0.2262,0.093,-9.0549,-0.4932,3.2777,1.0,-1.0,1.0
1700,-0.0509,0.0346,0.1047,-9.1506,-0.905,3.0646,1.0,1.0,1.0
1800,-0.069,-0.3693,-0.0568,-9.0668,-1.1516,3.1292,1.0,1.0,1.0
1900,0.1609,-1.4557,-0.154,-8.3486,-1.3671,2.1524,1.0,1.0,1.0
2000,0.1548,-2.929,-0.1167,-6.8091,-0.2011,4.5849,1.0,1.0,1.0
2100,0.462,-3.3436,-0.2968,-3.5961,-0.7015,9.7205,1.0,-1.0,1.0
2200,1.7363,-4.1504,-0.0056,0.5076,1.4174,11.7268,-1.0,-1.0,1.0
2300,0.6835,-2.0491,-0.2593,2.6001,1.6879,11.7148,-1.0,-1.0,1.0
2400,-0.049,-1.1639,-0.0152,4.0606,3.0047,9.8952,-1.0,-1.0,1.0
2500,-0.3693,-1.1085,-0.0719,5.1212,0.9912,9.4427,-1.0,-1.0,1.0
2600,-0.2936,-0.8005,-0.1154,5.6144,0.8906,8.6909,-1.0,-1.0,1.0
2700,-0.2539,-0.7983,-0.0663,6.4524,0.2322,7.8338,-1.0,-1.0,1.0
2800,-0.478,-0.5417,-0.11,7.2736,-0.237,7.8745,-1.0,-1.0,1.0
2900,0.15,0.0863,-0.0378,7.0964,-0.5315,6.4548,-1.0,-1.0,1.0
3000,0.1639,0.5561,0.0418,6.6271,-0.2203,7.0797,-1.0,-1.0,1.0
3100,-0.5375,3.2423,-0.0741,6.0669,-0.0263,8.9136,-1.0,-1.0,1.0
3200,-0.7456,3.7171,0.6467,3.4309,-1.403,6.5529,-1.0,-1.0,1.0
3300,-0.1079,1.6595,-0.0189,-0.4046,-0.5435,7.6495,-1.0,-1.0,1.0
3400,-0.6731,1.4208,-0.3275,-2.047,-1.2953,10.3118,1.0,-0.8129,1.0
3500,-0.0043,0.931,0.0589,-3.5051,-1.4724,7.8051,1.0,1.0,1.0
3600,0.2867,0.744,-0.2566,-4.2689,-1.4748,8.8226,1.0,1.0,1.0
3700,-0.267,0.1964,-0.2028,-4.446,-1.1875,8.3965,1.0,1.0,1.0
