timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,-0.052,0.0442,0.041,-1.0439,-0.5578,9.347,-1.0,-1.0,1.0
100,-0.0306,-0.016,0.0386,-0.9984,-0.7614,10.2735,-1.0,0.1034,1.0
200,-0.0943,0.037,0.0698,-1.2163,-0.4788,10.0461,-1.0,-1.0,1.0
300,0.0032,0.0397,0.0048,-1.0343,-0.9074,9.5529,-1.0,-0.202,1.0
400,0.025,0.0088,-0.0056,-1.2833,-0.6057,10.1682,-1.0,-1.0,1.0
500,0.2537,0.979,0.2451,-1.6233,-1.0582,10.7452,-0.187,-1.0,1.0
600,1.162,2.6779,0.8415,-2.6695,0.1508,8.9423,1.0,-1.0,1.0
700,-0.0232,0.9678,0.3797,-3.9049,-1.3575,7.2472,1.0,-1.0,1.0
800,-0.0464,0.8114,-0.7389,-5.1044,0.0407,6.1531,1.0,-1.0,1.0
900,0.5828,-0.0746,-0.5822,-5.8586,-0.0862,6.5888,1.0,-1.0,1.0
1000,2.8394,0.1551,-1.8511,-4.4484,1.3599,4.2641,1.0,-1.0,1.0
1100,0.4884,-2.9716,-1.3547,-5.0063,6.0478,5.5306,1.0,-1.0,1.0
1200,2.392,-2.3774,-2.7736,-0.7494,9.3517,8.7939,-1.0,-1.0,1.0
1300,2.6065,-0.736,-1.0387,0.431,7.3382,4.6064,-1.0,-1.0,1.0
1400,0.2643,-1.1263,-0.8351,1.6616,10.7787,2.2075,-1.0,-1.0,1.0
1500,0.0823,-0.141,-0.1037,1.9321,12.5121,5.4061,-1.0,-1.0,1.0
1600,-0.5745,0.3789,0.2662,1.9992,9.6223,3.7182,-1.0,-1.0,1.0
1700,0.2132,0.1415,0.0509,1.3862,9.1339,0.4884,-1.0,-1.0,1.0
1800,-0.077,0.0778,-0.0442,1.731,8.655,2.6839,-1.0,-1.0,1.0
1900,-1.8333,1.4959,1.3051,1.6305,10.2472,3.8499,-1.0,-1.0,1.0
2000,-1.918,1.5663,2.4331,-0.7446,7.7285,7.1898,1.0,-1.0,1.0
2100,1.1442,1.3051,2.772,-2.2529,4.944,0.7518,1.0,-1.0,1.0
2200,-0.1412,0.4445,1.0102,-5.77,4.9153,3.881,1.0,-1.0,1.0
2300,0.0304,0.2531,0.4687,-6.7564,5.7533,2.0375,1.0,-1.0,1.0
2400,0.2798,0.1034,0.7994,-6.7995,5.7078,3.9696,1.0,-1.0,1.0
2500,-1.0962,-1.2764,0.315,-7.695,4.6184,1.2354,1.0,-1.0,1.0
2600,-6.3248,-3.1043,-0.8521,-4.3958,2.162,5.7413,1.0,-1.0,1.0
2700,-1.8322,-0.5452,0.6997,-3.79,1.6568,6.1938,1.0,-1.0,1.0
2800,-4.7787,-2.5652,0.5923,-1.0199,-5.1787,10.6614,1.0,1.0,1.0
2900,-0.8391,-0.8458,-0.0858,-0.2586,-5.8251,7.58,0.9571,1.0,1.0
3000,-1.4293,-2.7328,0.3214,1.2761,-7.2664,6.9288,-1.0,1.0,1.0
3100,0.5974,-2.9116,1.0421,4.6807,-6.1555,6.3638,-1.0,1.0,1.0
3200,2.4773,-1.0054,0.8274,5.1212,-4.1013,6.2632,-1.0,1.0,1.0
3300,0.1916,-0.4247,0.4434,5.3798,-3.45,6.6343,-1.0,1.0,1.0
