gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0112,-0.0895,-0.0925,-0.5962,-1.166,9.6271,-1.0,1.0,1.0
0.073,-0.1663,0.1516,-0.3903,-1.4844,10.2568,-1.0,1.0,1.0
-0.1612,-0.1391,-0.0858,-0.2394,-0.8116,10.1251,-1.0,1.0,1.0
0.0024,-0.2374,-0.0541,-0.1221,-1.8579,9.7875,-1.0,1.0,1.0
-0.0003,-0.008,-0.0482,-0.4741,-1.5036,9.9264,-1.0,1.0,1.0
-0.0003,0.0232,-0.0869,-0.1987,-1.3647,9.8234,-1.0,1.0,1.0
0.0967,-0.0568,0.0549,-0.2011,-1.4054,9.9144,-1.0,1.0,1.0
0.0767,-0.0229,0.0205,-0.079,-1.4916,9.7923,-1.0,1.0,1.0
0.0538,0.1932,-0.1007,-0.8188,-1.5299,10.8577,-1.0,1.0,1.0
0.7296,3.3585,0.2713,-1.1205,-1.6855,10.75,0.9571,1.0,1.0
0.5628,3.7561,-0.0959,-3.7709,-1.1947,9.9048,1.0,-1.0,1.0
0.0069,2.2641,-0.1569,-6.948,-0.1437,4.1707,1.0,-1.0,1.0
0.0421,1.3776,-0.5305,-8.9112,1.1516,5.2409,1.0,-1.0,1.0
-0.073,1.1373,-0.5004,-9.0501,0.4669,2.0446,1.0,-1.0,1.0
-0.1196,0.0762,0.1588,-9.2129,0.3089,2.4541,1.0,-1.0,1.0
-0.3427,-0.3563,0.1524,-9.3063,-0.3112,2.4995,1.0,-1.0,1.0
-0.2659,-0.9737,0.1426,-8.9759,-0.4836,4.2449,1.0,-0.8129,1.0
-0.1857,-0.8884,-0.1913,-8.9016,-0.4357,4.2353,1.0,-1.0,1.0
-0.146,-3.0747,0.692,-7.118,0.1772,2.8084,1.0,1.0,1.0
-0.9305,-7.0967,1.6401,0.1844,-1.8986,10.6542,1.0,1.0,1.0
-0.9761,-4.6399,0.9827,4.1132,-3.6512,11.0085,-1.0,1.0,1.0
1.4144,-2.0979,0.5529,5.8873,-1.8028,8.0206,-1.0,0.1034,1.0
0.2587,-2.0784,0.5969,6.9049,-0.589,6.0813,-1.0,-1.0,1.0
0.0522,-1.25,0.2763,8.4755,-0.316,7.276,-1.0,-1.0,1.0
0.1236,-0.4343,-0.1958,8.77,0.0024,4.6687,-1.0,-1.0,1.0
-0.0474,0.1668,-0.117,8.8107,-0.3232,4.604,-1.0,-1.0,1.0
-0.8226,1.9977,-0.0554,7.9057,-0.7422,6.8474,-1.0,-1.0,1.0
0.2641,5.7228,-0.5939,7.3598,-0.7685,12.2152,-1.0,-0.202,1.0
0.2092,3.1435,-0.0959,0.6105,-2.569,8.1906,-1.0,1.0,1.0
-0.0408,1.1839,-0.2737,-1.8364,-1.1516,8.3893,1.0,1.0,1.0
0.2177,0.6171,-0.0738,-2.6576,-1.0726,7.8817,1.0,1.0,1.0
-0.1258,-0.3555,-0.3067,-3.0263,-0.6009,8.8131,1.0,-0.202,1.0
0.1833,-0.2422,-0.2718,-3.1819,-0.8164,9.3517,1.0,1.0,1.0
0.149,-0.0882,0.0895,-2.7964,-0.8475,9.3087,1.0,-1.0,1.0
2.5655,-0.6771,-0.2745,-2.818,0.9673,8.6048,1.0,-1.0,1.0
6.3037,-1.2143,-0.2872,-1.1564,5.4468,6.9959,1.0,-1.0,1.0
4.9503,0.0677,0.2188,-1.2115,9.0692,3.3447,-1.0,-1.0,1.0
0.8236,0.1966,-0.7512,-1.1133,10.0437,1.3288,-1.0,-1.0,-1.0
-0.1474,-0.5372,-0.0208,-1.142,10.2328,1.5467,-1.0,-1.0,-1.0
-1.1407,-0.5311,0.129,-1.2593,10.0963,2.3798,-1.0,-1.0,1.0
-5.5459,-0.619,0.3896,-2.0111,8.1116,4.2162,-1.0,-1.0,1.0
-5.4414,-0.4708,0.0088,0.0718,3.3423,9.6486,-1.0,-1.0,1.0
-5.1321,0.3813,-1.6515,0.747,-2.6935,10.7739,-1.0,1.0,1.0
-3.5096,0.4389,-1.765,0.3041,-7.2496,6.9216,-1.0,1.0,1.0
-2.411,0.4173,-0.8697,-1.7549,-8.2648,6.5673,-1.0,1.0,1.0
-1.2345,-0.2046,-0.5191,-1.652,-8.8466,3.6128,-1.0,1.0,1.0
-0.9566,-0.0453,-0.6438,-1.5562,-9.7564,1.7765,1.0,1.0,1.0
-0.3539,-0.1532,-0.1236,-2.7126,-8.6694,1.8052,1.0,1.0,1.0
1.092,0.4703,-0.4439,-2.7438,-9.924,1.9178,1.0,1.0,1.0
3.6068,-0.3603,0.1695,-1.7023,-8.8945,3.213,1.0,1.0,1.0
6.0761,-2.1416,0.6616,-1.5634,-3.96,9.1961,1.0,1.0,1.0
4.1342,-0.81,1.2364,-0.8811,3.2609,11.6143,-1.0,-1.0,1.0
1.1189,-0.0834,-0.1335,-0.9673,5.7964,9.6295,-1.0,-1.0,1.0
-1.0035,-0.279,-0.1564,-0.8332,3.6799,8.3558,-1.0,-1.0,1.0
-2.5839,-0.5241,-0.2366,-0.7925,3.3567,9.8617,-1.0,-1.0,1.0
-1.3928,-0.0296,0.203,-0.1532,0.6321,10.3621,-1.0,-1.0,1.0
-0.0083,-0.0847,0.0144,-0.3567,0.8619,10.896,-1.0,-1.0,1.0
-0.255,3.8077,0.1228,-0.7781,1.0271,12.4929,1.0,-1.0,1.0
0.3781,4.2884,-0.3158,-4.2449,1.1085,5.284,1.0,-1.0,1.0
-0.2089,2.6689,0.1703,-6.9743,-0.565,3.5434,1.0,-1.0,1.0
-0.3091,1.4378,0.3698,-8.236,-1.1971,0.68,1.0,-1.0,1.0
-0.1124,0.7005,0.4852,-9.1387,-1.8699,0.7877,1.0,1.0,1.0
0.0685,0.0597,-0.3022,-9.2727,-1.6855,1.4676,1.0,1.0,1.0
0.1479,-0.1263,-0.081,-10.1011,-0.2107,2.6695,1.0,0.4089,1.0
0.2627,-0.5809,-0.389,-9.5744,-0.6177,0.4022,1.0,1.0,1.0
-0.1532,-4.8544,0.1386,-7.0054,-1.221,1.1205,1.0,-1.0,1.0
0.0576,-6.4092,0.5476,-2.7581,-1.9585,8.5928,1.0,1.0,1.0
1.1882,-3.0009,0.5657,1.063,-0.1269,14.5472,-1.0,-1.0,1.0
0.5849,-3.0246,-0.0837,4.9416,0.3017,8.6909,-1.0,-1.0,1.0
-0.6731,-2.7184,-1.0357,8.5042,1.5227,8.6,-1.0,-1.0,1.0
0.3621,-2.4557,0.3781,8.9184,-0.0359,5.284,-1.0,-1.0,1.0
