gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0064,0.0133,0.0123,0.1341,-0.6153,9.912,-1.0,-1.0,1.0
0.0125,0.0213,0.0072,0.1053,-0.5291,9.9455,-1.0,-1.0,1.0
0.0072,0.016,-0.0282,0.17,-0.5555,10.0987,-1.0,-1.0,1.0
0.0621,0.2979,-0.1303,-0.1676,-0.8763,10.6877,-1.0,-1.0,1.0
0.2209,0.6355,-0.1346,-0.0766,-1.3001,10.8314,-1.0,-1.0,1.0
1.2007,1.978,-1.8631,-0.6608,-1.9537,10.4986,-1.0,-1.0,1.0
0.3595,0.0663,-0.3675,-3.0095,3.2777,8.1116,1.0,-1.0,1.0
0.0568,-1.1906,-0.9915,-1.0271,1.6664,9.1243,0.0991,-1.0,1.0
0.1428,-0.6099,-0.3344,-0.905,5.2074,11.4012,-1.0,-1.0,1.0
0.0115,-0.1282,-0.1695,-0.2705,2.3727,9.809,-1.0,-1.0,1.0
0.0091,-0.1226,-0.1474,0.0814,2.2793,9.6295,-1.0,-1.0,1.0
0.1468,-0.3627,-0.2971,1.1875,1.8483,9.0213,-1.0,-1.0,1.0
0.1532,-0.6731,-0.9241,0.8188,4.9129,10.9056,-1.0,-1.0,1.0
0.0727,-0.2654,-0.328,1.6616,2.8898,9.8689,-1.0,-1.0,1.0
-0.319,-0.0445,-0.0472,1.8316,2.1093,9.7324,-1.0,-1.0,1.0
0.0959,-0.11,-0.255,1.8148,3.1316,9.2512,-1.0,-1.0,1.0
-0.3754,0.1343,0.6667,1.834,4.3886,10.1179,-1.0,-1.0,1.0
-0.9553,0.3254,1.7051,1.5371,5.1787,10.4459,-1.0,-1.0,1.0
-0.4876,-0.1082,1.4967,1.4102,1.3575,9.019,-1.0,-1.0,1.0
-0.1665,0.0195,1.4,1.4605,-0.2634,9.3254,-1.0,-1.0,1.0
-0.1143,-0.0064,0.931,1.3288,0.0862,9.7564,-1.0,-1.0,1.0
-0.3203,0.0975,0.7016,0.8404,-0.0814,9.6917,-1.0,-1.0,1.0
-0.534,0.4578,0.8679,0.759,-0.8356,10.4531,-1.0,-1.0,1.0
-0.2326,0.3357,0.4346,-0.1963,-0.5411,9.663,-1.0,-1.0,1.0
-0.1532,0.1927,0.1721,-0.1437,-0.747,9.8138,-1.0,-1.0,1.0
-0.1412,0.1178,0.1306,-0.1987,-0.8715,9.6247,-1.0,-1.0,1.0
-0.0059,0.0069,0.1796,-0.7398,-0.0982,9.9359,-1.0,-1.0,1.0
0.0767,0.0927,0.4282,-0.6201,0.0575,10.4076,-1.0,-1.0,1.0
-0.0211,0.0861,0.0853,-0.407,-1.1277,9.8234,-1.0,-1.0,1.0
0.1801,-0.0168,-0.3299,-0.5578,-1.3695,9.845,-1.0,-1.0,1.0
0.138,0.1359,-0.5431,-0.4453,-1.8842,10.4124,-1.0,-1.0,1.0
0.1436,0.3925,-0.7818,-0.589,-0.7853,10.3453,-1.0,-1.0,1.0
0.0429,0.4143,-0.5718,-1.1923,0.6416,9.7995,-1.0,-1.0,1.0
-0.0293,0.3517,-0.3829,-1.4772,0.6009,9.4762,-1.0,-1.0,1.0
0.0895,0.154,-0.4394,-1.4245,0.0383,9.2296,-1.0,-1.0,1.0
0.0101,0.0933,-0.3659,-1.8603,0.7039,9.5169,-1.0,-1.0,1.0
0.0059,0.0853,-0.1943,-1.8196,1.2258,9.8043,-1.0,-1.0,1.0
0.0226,0.0354,-0.0861,-1.8028,0.8092,9.6319,1.0,-1.0,1.0
0.0434,0.0424,-0.0653,-1.8675,0.7326,9.7875,-1.0,-1.0,1.0
0.0605,-0.0261,-0.0983,-1.9704,0.68,9.6582,-1.0,-1.0,1.0
0.2731,-0.2968,-0.1996,-1.5443,0.7039,8.9615,-1.0,-1.0,1.0
0.3587,-0.8791,-0.4812,-1.0487,1.8794,9.6941,-1.0,-1.0,1.0
0.4919,-1.0349,-0.6957,-0.2011,1.8794,8.8921,-1.0,-1.0,1.0
0.6318,-0.9467,-1.1485,1.1516,2.4277,10.0197,-1.0,-1.0,1.0
-0.0658,-0.4588,-0.0274,2.0734,2.3056,10.2089,-1.0,-1.0,1.0
0.2161,-0.3491,-0.2801,2.4014,2.557,9.1315,-1.0,-1.0,1.0
0.4359,-0.2286,-0.7027,2.7294,3.2824,9.3015,-1.0,-1.0,1.0
0.0999,-0.1292,-0.2262,2.897,3.6727,9.4044,-1.0,-1.0,1.0
0.1204,-0.1098,-0.1319,3.1412,2.9928,9.3853,-1.0,-1.0,1.0
-0.1079,0.064,0.2273,3.2298,3.1484,9.3039,-1.0,-1.0,1.0
-0.4778,0.194,0.7378,3.4022,3.8547,9.1051,-1.0,-1.0,1.0
-0.9742,0.2292,1.5284,2.9497,4.2641,9.4332,-1.0,-1.0,1.0
-1.9207,1.0078,2.5908,1.9369,4.1108,10.2448,-1.0,-1.0,1.0
-1.4757,0.9822,2.339,1.2546,-0.1077,8.2313,-1.0,-1.0,1.0
-0.7194,0.2297,1.1498,0.4381,-0.9816,9.1195,-1.0,-1.0,1.0
