gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0416,-0.0077,0.04,0.5962,-0.7805,10.003,-1.0,-1.0,1.0
-0.0152,0.0224,-0.0133,0.7781,-0.8811,9.9551,-1.0,-1.0,1.0
0.0144,0.0187,-0.0104,0.6895,-0.8691,9.8809,-1.0,-1.0,1.0
0.0349,0.0013,-0.0226,0.7278,-0.9218,9.9264,-1.0,-1.0,1.0
-0.0051,0.036,-0.0152,0.838,-0.8787,9.8641,-1.0,-1.0,1.0
-0.0043,0.0197,-0.0195,0.6847,-0.8092,9.8952,-1.0,-1.0,1.0
-0.0021,0.0179,0.0229,0.6201,-0.759,9.9862,-1.0,-1.0,1.0
0.0741,-0.0413,-0.0317,0.7733,-1.0989,9.7851,-1.0,-1.0,1.0
-0.1386,-0.2435,0.1055,1.1277,-0.8356,10.5105,-1.0,-1.0,1.0
-0.1042,-0.0314,0.0312,1.087,-1.2115,9.991,-1.0,-1.0,1.0
-0.2276,-0.0061,0.0325,0.9697,-1.3216,9.6127,-1.0,1.0,1.0
-0.7,-0.0629,0.239,1.1612,-1.6855,9.675,-1.0,1.0,1.0
-0.4639,-0.081,-0.0429,1.3096,-2.5833,9.4212,-1.0,1.0,1.0
-0.4466,-0.1924,-0.0011,1.1636,-3.158,9.7875,-1.0,1.0,1.0
-0.4072,0.0525,0.1055,1.1396,-4.0606,9.7324,-1.0,1.0,1.0
0.0501,0.6979,-0.1553,0.8978,-3.9265,8.7029,-1.0,1.0,1.0
0.0496,-0.1588,-0.0693,0.5339,-3.893,9.0932,-1.0,1.0,1.0
0.0408,-0.3525,-0.085,0.7709,-3.5793,9.4403,-1.0,1.0,1.0
-0.0997,-0.1362,0.0794,0.9433,-3.6392,9.2967,-1.0,1.0,1.0
-0.1159,0.0408,-0.037,0.8212,-3.9169,8.9591,-1.0,1.0,1.0
-0.0522,0.0506,-0.0642,1.0008,-3.9887,9.0908,-1.0,1.0,1.0
0.0999,0.0778,-0.0743,0.9625,-4.2784,9.1698,-1.0,1.0,1.0
0.295,0.2699,-0.3584,0.9313,-4.1252,9.4834,-1.0,1.0,1.0
0.2984,0.486,-0.2654,0.1389,-3.5482,9.0213,-1.0,1.0,1.0
0.1796,0.0741,-0.1351,-0.3089,-3.4213,9.3757,-1.0,1.0,1.0
0.1964,0.0903,-0.1911,-0.4118,-2.9425,9.1291,-1.0,1.0,1.0
0.0978,-0.0682,-0.1607,-0.4262,-3.0071,9.5409,-1.0,1.0,1.0
0.1458,-0.0666,0.0064,-0.3974,-2.8228,9.7707,-1.0,1.0,1.0
0.081,0.0418,-0.0589,-0.2514,-2.9066,9.596,-1.0,1.0,1.0
-0.004,-0.0597,-0.0248,-0.2442,-2.7533,9.5529,-1.0,1.0,1.0
0.0272,-0.0746,0.0381,-0.2179,-2.7725,9.7109,-1.0,1.0,1.0
-0.0424,0.0397,-0.0493,-0.067,-2.8395,9.6079,-1.0,1.0,1.0
0.02,0.0187,-0.0482,-0.0694,-2.9521,9.7109,-1.0,1.0,1.0
0.1687,0.2942,-0.1159,-0.2442,-2.8659,9.6558,-1.0,1.0,1.0
0.0946,0.2419,-0.2289,-0.5339,-2.5953,9.505,-1.0,1.0,1.0
0.0389,0.1175,-0.1703,-0.8475,-2.399,9.4595,-1.0,1.0,1.0
0.0562,0.0858,-0.1188,-0.9146,-2.4373,9.4595,-1.0,1.0,1.0
0.0221,0.0061,-0.0943,-0.9697,-2.4277,9.4643,-1.0,1.0,1.0
0.0051,-0.0197,-0.0306,-0.996,-2.3367,9.5624,-1.0,1.0,1.0
